0.000	0.480	For	1.00
0.480	0.900	 his	0.72
0.900	1.860	 fault,	0.67
1.860	2.160	 and	1.00
2.160	2.640	 to	1.00
2.640	3.480	 punish	1.00
3.480	4.380	 him,	0.54
4.380	4.740	 if	0.99
4.740	6.120	 he	0.97
6.120	6.660	 does	1.00
6.660	7.020	 not	1.00
7.020	8.040	 correct	0.99
8.040	8.880	 his	0.98
8.880	11.580	 mistakes.	0.83
11.640	12.480	 Take	0.74
12.480	12.960	 great	0.98
12.960	13.320	 care	1.00
13.320	13.740	 of	1.00
13.740	14.100	 this	0.93
14.100	15.480	 ring,	0.62
15.480	15.600	 she	0.87
15.600	15.840	 said	0.96
15.840	17.280	 it	0.74
17.280	17.640	 is	1.00
17.640	18.120	 more	0.99
18.120	18.960	 precious	0.99
18.960	19.440	 than	0.91
19.440	21.240	 diamonds.	0.45
21.300	22.440	 Every	0.26
22.440	23.160	 time	0.92
23.160	23.400	 you	0.99
23.400	23.700	 do	0.99
23.700	24.060	 a	0.99
24.060	24.360	 bad	0.93
24.360	25.200	 deed,	0.35
25.200	25.860	 if	0.61
25.860	26.940	 it	0.80
26.940	27.600	 will	0.95
27.600	28.320	 prick	0.92
28.320	28.620	 your	0.99
28.620	29.460	 finger,	0.83
29.460	30.780	 if,	0.53
30.780	30.900	 in	0.81
30.900	31.320	 spite	0.97
31.320	31.620	 of	0.99
31.620	32.340	 it's	0.77
32.340	33.420	 breaking,	0.74
33.420	33.840	 you	0.93
33.840	34.620	 continue	0.97
34.620	35.400	 in	0.94
35.400	35.820	 your	0.99
35.820	36.300	 own	0.99
36.300	37.020	 evil	0.99
37.020	37.500	 ways,	0.69
37.500	38.460	 you	0.81
38.460	38.760	 will	0.99
38.760	39.240	 lose	0.88
39.240	39.660	 my	0.99
39.660	40.620	 friendship,	0.69
40.620	41.400	 and	0.70
41.400	41.940	 I	0.99
41.940	42.360	 will	0.97
42.360	45.480	 become	0.72
45.480	46.380	 your	0.99
46.380	47.400	 enemy.	0.69
48.180	49.200	 After	0.27
49.200	50.280	 this	0.74
50.280	50.880	 word,	0.28
50.880	52.380	 the	0.68
52.380	52.980	 fairy	0.59
52.980	53.940	 disappeared,	0.67
53.940	54.540	 leaving	0.86
54.540	55.440	 Prince	0.83
55.440	56.100	 Darling	0.75
56.100	56.460	 in	0.98
56.460	56.940	 shock.	0.74
57.000	57.960	 One	0.79
57.960	58.500	 day,	0.84
58.500	59.460	 however,	0.85
59.460	60.780	 Prince	0.96
60.780	61.920	 Darling,	0.55
61.920	62.040	 the	0.97
62.040	62.820	 happy,	0.31
62.820	63.120	 went	0.94
63.120	63.780	 out	0.96
63.780	65.580	 hunting,	0.66
65.580	65.940	 he	0.66
65.940	67.140	 had	0.81
67.140	67.800	 gone	0.61
67.800	69.300	 out,	0.44
69.300	72.000	 gone	0.22
72.000	72.480	 back	0.95
72.480	73.020	 to	0.98
73.020	73.080	 the	0.98
73.080	73.740	 honking	0.67
73.740	74.400	 ground,	0.56
74.400	74.940	 many	0.70
74.940	75.780	 times,	0.64
75.780	76.320	 but	0.85
76.320	77.160	 didn't	0.99
77.160	77.520	 find	0.99
77.520	78.060	 any	0.99
78.060	78.660	 animals.	0.77
78.720	79.740	 This	0.23
79.740	80.220	 made	0.17
80.220	81.060	 him	0.88
81.060	81.540	 very	1.00
81.540	82.140	 upset.	0.97
