0.000	1.320	They
1.320	1.800	 would
1.800	2.340	 not
2.340	2.880	 be
2.880	3.240	 such
3.240	3.660	 a
3.660	4.020	 trouble
4.020	4.380	 to
4.380	4.560	 me
4.560	5.220	 now,
5.220	5.760	 at
5.760	6.840	 last.
6.900	7.740	 The
7.740	7.980	 prince
7.980	8.340	 got
8.340	8.880	 tired
8.880	9.840	 of
9.840	10.260	 the
10.260	11.940	 constant.
11.940	13.680	 Constant.
13.680	16.380	 Reminders
16.380	16.860	 of
16.860	17.520	 his
17.520	18.360	 bed,
18.360	18.660	 uh,
18.660	19.440	 bad
19.440	20.100	 be,
20.100	21.660	 heavier.
21.720	23.820	 He
23.820	24.240	 wanted
24.240	24.900	 to
24.900	25.320	 be
25.320	25.740	 able
25.740	26.160	 to
26.160	27.000	 do
27.000	27.720	 as
27.720	28.260	 he
28.260	28.980	 liked.
29.040	30.000	 So
30.000	30.840	 he
30.840	31.320	 threw
31.320	31.560	 his
31.560	31.980	 ring
31.980	32.580	 aside
32.580	33.960	 and.
33.960	35.640	 And
35.640	36.900	 so.
37.020	39.420	 Himself.
39.480	41.640	 The
41.640	42.540	 happiest
42.540	43.500	 of
43.500	43.980	 men
43.980	44.820	 to
44.820	45.300	 have
45.300	46.200	 got
46.200	46.620	 rid
46.620	47.040	 of
47.040	47.760	 of
47.760	48.720	 its
48.720	49.860	 teasing
49.860	51.360	 pricks.
51.420	52.320	 Hey.
52.440	54.540	 Okay.
54.540	57.060	 Do.
57.180	58.980	 Do
58.980	59.340	 you
59.340	60.240	 dislike
60.240	61.560	 me?
61.560	64.740	 Asked,
64.740	65.460	 sir,
65.460	65.700	 I'm
65.700	66.300	 only
66.300	66.720	 a
66.720	67.140	 chef
67.140	67.380	 for
67.380	67.860	 this.
67.920	69.240	 And
69.240	69.420	 I
69.420	71.460	 uh,
71.460	71.640	 and
71.640	71.880	 a
71.880	72.120	 poor
72.120	72.720	 girl,
72.720	73.020	 she
73.020	73.320	 said,
73.320	73.680	 but
73.680	73.980	 I
73.980	74.460	 won't
74.460	74.700	 marry
74.700	75.120	 you.
75.180	75.720	 Do
75.720	75.960	 you
75.960	77.340	 like
77.340	77.760	 me
77.760	78.840	 asked
78.840	79.800	 Prince
79.800	80.760	 Darling
80.760	81.420	 annoyed
81.420	82.620	 at
82.620	82.980	 this
82.980	83.520	 answer?
83.580	86.340	 No,
86.340	86.520	 my
86.520	87.120	 prince.
87.180	90.720	 Replied,
90.720	92.220	 Syria,
92.220	92.700	 um.
92.820	96.120	 And
96.120	97.140	 notice
97.140	97.500	 you
97.500	97.800	 are
97.800	98.040	 very
98.040	98.700	 rich,
98.700	99.300	 but
99.300	100.260	 what's
100.260	100.980	 good
100.980	101.820	 would.
101.820	106.920	 Reach
106.920	107.700	 needs
107.700	109.320	 to,
109.320	109.440	 which
109.440	109.920	 needs
109.920	110.220	 to
110.220	110.340	 be
110.340	110.580	 to
110.580	111.420	 me.
111.420	111.600	 If
111.600	111.900	 I
111.900	112.680	 see,
112.680	114.240	 you,
114.240	114.780	 you
114.780	116.040	 commit
116.040	117.900	 wrongdoings
117.900	118.560	 every
118.560	119.220	 day,
119.220	119.760	 I
119.760	120.240	 will
120.240	121.500	 dislike
121.500	121.800	 you
121.800	122.340	 and
122.340	123.000	 even
123.000	123.240	 hit
123.240	123.480	 you.
123.540	124.800	 What
124.800	125.940	 will
125.940	126.960	 or
126.960	128.100	 you.
128.220	129.720	 Oh,
129.720	130.680	 or
130.680	131.220	 marriage
131.220	132.060	 be
132.060	132.540	 like
132.540	133.020	 if
133.020	133.380	 I
133.380	133.680	 am
133.680	135.000	 a
135.000	138.540	 witness.
